shipping_country,shipping_province,total_n_sold,top1_productType,top2_productType,top3_productType
Ireland,Dublin,363922,Vitamins & Supplements,Cleanser,Serum
Ireland,Cork,168496,Vitamins & Supplements,Cleanser,Serum
Ireland,Galway,109988,Vitamins & Supplements,Cleanser,Serum
Ireland,Kildare,92791,Vitamins & Supplements,Cleanser,Serum
Ireland,Meath,73805,Vitamins & Supplements,Cleanser,Serum
Ireland,Limerick,60080,Vitamins & Supplements,Cleanser,Serum
Ireland,Tipperary,56643,Vitamins & Supplements,Cleanser,Serum
Ireland,Mayo,50964,Vitamins & Supplements,Serum,Cleanser
Ireland,Donegal,47948,Vitamins & Supplements,Cleanser,Serum
United Kingdom,Northern Ireland,47255,Vitamins & Supplements,Cleanser,Serum
Ireland,Kerry,44934,Vitamins & Supplements,Cleanser,Serum
Ireland,Clare,44896,Vitamins & Supplements,Cleanser,Serum
Ireland,Wexford,43941,Vitamins & Supplements,Cleanser,Serum
Ireland,Offaly,43413,Vitamins & Supplements,Cleanser,Serum
Ireland,Wicklow,41399,Vitamins & Supplements,Cleanser,Serum
Ireland,Waterford,37662,Vitamins & Supplements,Cleanser,Serum
Ireland,Louth,37559,Vitamins & Supplements,Cleanser,Serum
Ireland,Kilkenny,37403,Vitamins & Supplements,Cleanser,Serum
Ireland,Westmeath,34473,Vitamins & Supplements,Cleanser,Serum
Ireland,Laois,29369,Vitamins & Supplements,Cleanser,Serum
